sourceName,slug,displayName,resolution,existing
Soedesco,soedesco,Soedesco,exact-name-or-alias,True
Sometimes You,sometimes-you,Sometimes You,exact-name-or-alias,True
Somnium Games,somnium-games,Somnium Games,exact-name-or-alias,True
Sony Computer Entertainment,sony-interactive-entertainment,Sony Interactive Entertainment,exact-name-or-alias,True
Sony Computer Entertainment España,sony-computer-entertainment-espana,Sony Computer Entertainment España,new-exact-credit-entity,False
Sony Computer Entertainment Europe,sony-computer-entertainment-europe,Sony Computer Entertainment Europe,exact-name-or-alias,True
Sony Interactive Entertainment,sony-interactive-entertainment,Sony Interactive Entertainment,exact-name-or-alias,True
Sony Interactive Entertainment España,sony-interactive-entertainment-espana,Sony Interactive Entertainment España,new-exact-credit-entity,False
Sony Interactive Entertainment Europe,sony-interactive-entertainment-europe,Sony Interactive Entertainment Europe,exact-name-or-alias,True
Spiders,spiders,Spiders,exact-name-or-alias,True
Spike Chunsoft,spike-chunsoft,Spike Chunsoft,exact-name-or-alias,True
Spiral House,spiral-house,Spiral House,exact-name-or-alias,True
Spotlight by Quantic Dream,spotlight-by-quantic-dream,Spotlight by Quantic Dream,new-exact-credit-entity,False
Square Enix,square-enix,Square Enix,explicit-existing,True
Square Enix Business Division 1,square-enix-business-division-1,Square Enix Business Division 1,exact-name-or-alias,True
Square Enix Creative Business Unit I,square-enix-creative-business-unit-i,Square Enix Creative Business Unit I,new-exact-credit-entity,False
Square Enix Creative Business Unit III,square-enix-creative-business-unit-iii,Square Enix Creative Business Unit III,new-exact-credit-entity,False
Starbreeze Publishing,starbreeze-publishing,Starbreeze Publishing,new-exact-credit-entity,False
Starfish-SD,starfish-sd,Starfish SD,exact-name-or-alias,True
Steel Wool Studios,steel-wool-studios,Steel Wool Studios,exact-name-or-alias,True
Steve Gal,steve-gal,Steve Gal,new-exact-credit-entity,False
Stoic,stoic,Stoic,new-exact-credit-entity,False
Stormind Games,stormind-games,Stormind Games,exact-name-or-alias,True
Strictly Limited Games,strictly-limited-games,Strictly Limited Games,exact-name-or-alias,True
Success,success,Success,exact-name-or-alias,True
Sumo Digital,sumo-digital,SUMO Digital,exact-name-or-alias,True
Sumo Nottingham,sumo-nottingham,Sumo Nottingham,new-exact-credit-entity,False
Super Evil Megacorp,super-evil-megacorp,Super Evil Megacorp,exact-name-or-alias,True
Supermassive Games,supermassive-games,SuperMassive Games Ltd.,exact-name-or-alias,True
Survios,survios,Survios,exact-name-or-alias,True
THQ Nordic,thq-nordic,THQ Nordic GmbH,exact-name-or-alias,True
THREE FIELDS ENTERTAINMENT LIMITED,three-fields-entertainment,Three Fields Entertainment,explicit-existing,True
TINYBUILD LLC,tinybuild,tinyBuild,explicit-new,False
TT Games,tt-games,TT Games Ltd,exact-name-or-alias,True
Taito,taito,Taito Corporation,exact-name-or-alias,True
Tamsoft,tamsoft,Tamsoft Corporation,exact-name-or-alias,True
Tango Gameworks,tango-gameworks,Tango Gameworks,exact-name-or-alias,True
Tarsier Studios,tarsier-studios,Tarsier Studios,exact-name-or-alias,True
Tate Multimedia,tate-multimedia,Tate Multimedia,exact-name-or-alias,True
Team Cherry,team-cherry,Team Cherry,exact-name-or-alias,True
Team Ninja,team-ninja,Team NINJA,exact-name-or-alias,True
Team17,team17,Team17,explicit-existing,True
Team6 Game Studios,team6-game-studios,Team6 Game Studios,exact-name-or-alias,True
Techland,techland,Techland,exact-name-or-alias,True
Telltale Games,telltale-games,TellTale Games,exact-name-or-alias,True
Tesura Games,tesura-games,Tesura Games,exact-name-or-alias,True
Teyon,teyon,Teyon,exact-name-or-alias,True
The Digital Lounge,digital-lounge,The Digital Lounge,explicit-new,False
The Game Kitchen,the-game-kitchen,The Game Kitchen,exact-name-or-alias,True
The Gentlebros,the-gentlebros,The Gentlebros,exact-name-or-alias,True
Thunderful Games Ltd,thunderful-games-ltd,Thunderful Games Ltd,new-exact-credit-entity,False
